iso3,country_name,Year,Total,GDP,Population,GDP_per_capita
AFG,Afghanistan,2008,1,,19542982.0,
AFG,Afghanistan,2012,1,,28189672.0,
ALB,Albania,2024,2,,,
ARE,United Arab Emirates,2004,1,,3275333.0,
ARE,United Arab Emirates,2016,1,,8916899.0,
ARG,Argentina,1924,6,,,
ARG,Argentina,1928,7,,,
ARG,Argentina,1932,4,,,
ARG,Argentina,1936,7,,,
ARG,Argentina,1948,7,,,
ARG,Argentina,1952,5,,,
ARG,Argentina,1956,2,,,
ARG,Argentina,1960,2,,,
ARG,Argentina,1964,1,,,
ARG,Argentina,1968,2,,,
ARG,Argentina,1972,1,,,
ARG,Argentina,1988,2,,28024803.0,
ARG,Argentina,1992,1,,32637657.0,
ARG,Argentina,1996,3,,32637657.0,
ARG,Argentina,2000,4,,37070774.0,
ARG,Argentina,2004,6,,37070774.0,
ARG,Argentina,2008,6,,37070774.0,
ARG,Argentina,2012,4,,41100123.0,
ARG,Argentina,2016,4,,43257065.0,
ARG,Argentina,2020,3,,45036032.0,
ARG,Argentina,2024,3,,,
ARM,Armenia,1996,2,,3556539.0,
ARM,Armenia,2000,1,,3168523.0,
ARM,Armenia,2008,5,,3168523.0,
ARM,Armenia,2012,2,,2946293.0,
ARM,Armenia,2016,4,,2878595.0,
ARM,Armenia,2020,4,,2805608.0,
ARM,Armenia,2024,4,,,
AUS,Australia,1896,2,,,
AUS,Australia,1900,5,,,
AUS,Australia,1904,4,,,
AUS,Australia,1920,3,,,
AUS,Australia,1924,6,,,
AUS,Australia,1928,4,,,
AUS,Australia,1932,5,,,
AUS,Australia,1936,1,,,
AUS,Australia,1948,13,,,
AUS,Australia,1952,11,,,
AUS,Australia,1956,35,,,
AUS,Australia,1960,22,18606786874.0,,
AUS,Australia,1964,18,23801097547.0,,
AUS,Australia,1968,17,32716989584.0,,
AUS,Australia,1972,17,52051401869.0,,
AUS,Australia,1976,5,105000000000.0,,
AUS,Australia,1980,9,150000000000.0,14706322.0,10199.69506991619
AUS,Australia,1984,24,194000000000.0,14706322.0,13191.605623758272
AUS,Australia,1988,14,236000000000.0,14706322.0,16047.520243334806
AUS,Australia,1992,27,325000000000.0,17048003.0,19063.81644817871
AUS,Australia,1996,41,401000000000.0,17048003.0,23521.81660221435
AUS,Australia,2000,58,416000000000.0,19017963.0,21874.05664844337
AUS,Australia,2004,50,614000000000.0,19017963.0,32285.266303231318
AUS,Australia,2008,46,1060000000000.0,19017963.0,55736.77895997589
AUS,Australia,2012,35,1550000000000.0,22019168.0,70393.21376720502
AUS,Australia,2016,29,1210000000000.0,23820236.0,50797.14575455927
AUS,Australia,2020,45,1330000000000.0,25670051.0,51811.35012158722
AUS,Australia,2024,53,,,
AUT,Austria,1896,5,,,
AUT,Austria,1900,6,,,
AUT,Austria,1904,3,,,
AUT,Austria,1908,1,,,
AUT,Austria,1912,4,,,
AUT,Austria,1924,4,,,
AUT,Austria,1928,3,,,
